Carimbo de data/hora,Endereço de e-mail,"NOME DO EVENTO, SE HOUVER:",DATA DO EVENTO:,DESCREVA BREVEMENTE A PROPOSTA E A PROGRAMAÇÃO DO EVENTO:,O EVENTO SERÁ:,O EVENTO SERÁ VOLTADO PARA:,IRÃO AUXILIAR NO EVENTO:,"A ALIMENTAÇÃO SERÁ DIFERENTE? SE SIM, IRÃO PRECISAR DE ALGUM INGREDIENTE?","SERÁ NECESSÁRIA A CRIAÇÃO DE UMA ARTE DE DIVULGAÇÃO? SE SIM, COM QUAIS INFORMAÇÕES?","IRÃO PRECISAR DE ALGUM MATERIAL IMPRESSO? SE SIM, INSIRA A QUANTIDADE DE EXEMPLARES E ANEXE O MATERIAL.",COBERTURA DO MARKETING NO DIA DO EVENTO:,"HAVERÁ NECESSIDADE DE ALGUM MATERIAL/EQUIPAMENTO? SE SIM, QUAL?","ADICIONE ALGUM ARQUIVO/ANEXO, CASO HAJA NECESSIDADE:",HORÁRIO DO EVENTO:,Coluna 14
31/07/2025 13:36:31,jdnilopolis@anabrasil.org,Encontro de Famílias,23/08/2025,"Encontro de Famílias com a presença da Secretária Municipal de Desenvolvimento e Assistência Social, Vandecleya Moro e da diretora do Departamento de Proteção Social Básica do Sistema Único de Assistência Social - DPSB, Ismênia Oki.",Interno (Organizado pela Unidade),Os atendidos e suas famílias,Funcionários,"Bolos simples para o café da manhã das famílias, ou outros itens de café da manhã.","Sim: chamada à participação, data, horário e endereço.",,Irá precisar,Não,,,
01/08/2025 14:09:07,diretoriasantana@anabrasil.org,ENCONTRO DE FAMÍLIA,09/08/2025,ENCONTRO DE FAMILIA COM A PRESENÇA DA SECRETÁRIA DA ASSISTENCIA SOCIAL VANDECLEYA ELVIRA DO CARMO SILVA MORO E SUA EQUIPE ,Interno (Organizado pela Unidade),Os atendidos e suas famílias,"Funcionários,  Viviane ","SIM, CAFÉ DA MANHÃ COM PÃES, BOLO, SUCO, FRUTAS E CAFÉ ",NÃO,,Irá precisar,"6 COPOS DE VIDRO, 6 XICARAS DE CAFÉ VIDRO, TOALHA MESA, FLOR PARA DECORAÇÃO MESA , 60 CADEIRAS PLASTICAS
",,,
06/08/2025 17:22:10,dic@anabrasil.org,ENCONTRO DE FAMILIAS - CCII ,09/08/2025,ENCONTRO DE FAMÍLIAS COM CAFÉ DA MANHÃ - CCII ,Interno (Organizado pela Unidade),Os atendidos e suas famílias,"Funcionários, Voluntários",TEMOS TUDO NA UNIDADE ,SIM JÁ FOI SOLICITADO POR E-MAIL ,,Irá precisar,NÃO ,,,
06/08/2025 17:23:32,dic@anabrasil.org,ENCONTRO DE FAMILIAS - 06 A 14 ,16/08/2025,"APRESENTAÇÕES, EXPOSIÇÃO DE ATIVIDADES E PALESTRTA PARA FAMILIA. ",Interno (Organizado pela Unidade),Os atendidos e suas famílias,Funcionários,TEMOS NA UNDIADE ,"SIM, JÁ SOLICITADO POR E-MAIL ",,Irá precisar,NÃO ,,,
06/08/2025 17:25:12,dic@anabrasil.org,BAZAR ,30/08/2025,BAZAR ,Interno (Organizado pela Unidade),Será aberto para a comunidade,Funcionários,NÃO TEREMOS ,"SIM, JÁ SOLITADO POR E-MAIL ",,Não irá precisar,NÃO ,,,
08/08/2025 13:45:30,diretoriasantana@anabrasil.org,PROJETO ABRACE- ESPRO,20/08/2025,Oficinas Kids,Interno (Organizado pela Unidade),Os atendidos,Funcionários,NÃO,NÃO,,Irá precisar,NÃO,,,
15/08/2025 08:52:59,diretoriasantana@anabrasil.org,MC LANCHE FELIZ,22/08/2025,DOADORES COMPRAM MC COM REFRI LEVA NAS UNIDADES,Interno (Organizado pela Unidade),Os atendidos,Funcionários,NÃO,NÃO,,Irá precisar,NÃO,,,
20/08/2025 15:02:36,dic@anabrasil.org,Mc dia feliz ,22/08/2025,"No dia 22 de agosto, nossos usuarios serão contemplados com lanches do McDonald's, durante os 3 periodos de atendimentos, seguimos no 3º ano desta ação, que vem benifiando nossos usuarios. A iniciativa parte de grupos de amigos e empresarios. ",Interno (Organizado pela Unidade),Os atendidos,Funcionários,Não,Não ,,Irá precisar,Não ,,,
20/08/2025 15:04:54,dic@anabrasil.org,Capacitação Brasiliense ,25/08/2025,"Nossos Trilhandos irão participar de mais uma capacitação direcionada ao mundo do trabalho, em empresa Brasiliense. Os mesmos irão receber um café da manhã e farão um tour pela empresa. ",Externo (Organizado pelo Parceiro),Os atendidos,Funcionários,NÃO ,NÃO ,,Irá precisar,NÃO ,,,
20/08/2025 15:11:43,dic@anabrasil.org,Palestra com mulheres - MM ,30/08/2025,"Palestra direcionada parea mulheres, com o tema Menopausa. ",Externo (Organizado pelo Parceiro),Os atendidos e suas famílias,"Funcionários, Voluntários",Serviremos café da tarde para as presentes,Sim ! ,,Irá precisar,NÃO ,,,
20/08/2025 16:31:33,dic@anabrasil.org,Palestra Trilhando Futuro - Luxótica ,27/08/2025,Palestra Luxótica ,Externo (Organizado pelo Parceiro),Os atendidos,Funcionários,NÃO ,NÃO ,,Irá precisar,NÃO ,,,
20/08/2025 16:48:18,dic@anabrasil.org,Entre Laços e Abraços ,22/08/2025,"Encontro com roda de conversa e café, abordaremos o tema Violência contra a mulher. ",Interno (Organizado pela Unidade),Os atendidos e suas famílias,Funcionários,"BOLO, CHÁ E FRUTAS  ( TEMOS NA UNIDADE)",ESTA OK ,,Irá precisar,ESTA OK ,,,
02/09/2025 09:55:43,dic@anabrasil.org,Visita de deputado - PL ,04/09/2025,"Visita em unidade Dic, de deputado Lucas - PL a fim de conhecer o serviço e entender a dinâmica desenvilvida. ",Interno (Organizado pela Unidade),Os atendidos,EQUIPE DO DEPUTADO ,"Serviremos café , suco e bolo",NÃO ,,Irá precisar,NÃO ,,,
02/09/2025 10:01:08,dic@anabrasil.org,DESFILE CIVICO ,07/09/2025,NOSSA UNIDADE PARTICIPARÁ DO DESFILE DE SETE DE SETEMBRO.,Interno (Organizado pela Unidade),Será aberto para a comunidade,Funcionários,"PRECISAMOS DE: 150 CAIXINHAS DE SUCO, BOMBOM, BOLACHA CLUBE SOCIAL. ",NÃO ,,Irá precisar,NÃO ,,,
02/09/2025 10:04:48,dic@anabrasil.org,REUNIÃO DE FAMÍLIAS - COM A EQUIPE CDMA E SECRETARIA DA ASSISTENCIA SOCIAL VANDERCLÉIA ,13/09/2025,Palestra com a comunidade ,Externo (Organizado pelo Parceiro),Os atendidos e suas famílias,"Funcionários, Voluntários",CAFÉ DA MANHÃ ,NÃO ,,Irá precisar,NÃO ,,,
02/09/2025 10:09:42,dic@anabrasil.org,Capacitação Brasiliense ,25/09/2025,"Nosso grupo do Trilhando Futuro, participará de mais uma palestra em empresa Brasiliense, sobre Mundo Corporativo ",Externo (Organizado pelo Parceiro),Os atendidos,Voluntários,NÃO ,NÃO ,,Irá precisar,NÃO ,,,
08/09/2025 18:07:07,dic@anabrasil.org,Culto Evangelistico ,12/09/2025,Culto evangelistico com presença de escritor com necessidades especiais ,Interno (Organizado pela Unidade),Os atendidos,Funcionários,NÃO ,NÃO ,,Irá precisar,NÃO ,,14:00:00,
18/09/2025 15:56:24,jdnilopolis@anabrasil.org,HopeDay,11/10/2025,"Conforme alinhamento com a gestão, os grupos musicais das 02 unidades (Nilópolis e DIC) participarão do HopeDay, logo após o ensaio. Horário aproximado do evento das 11h às 15h",Externo (Organizado pelo Parceiro),Será aberto para a comunidade,Funcionários,Não ,Não,,Irá precisar,Não,https://drive.google.com/open?id=132tFYmMKTwoqTbOZf41CWB1_1-_3YZa6,11:00:00,
21/10/2025 17:28:15,dic@anabrasil.org,Palestra MM - Saúde Bucal ,25/10/2025,"Palestra MM sobre higiêne bucal, com as mães, adolesecentes, adultas ",Externo (Organizado pelo Parceiro),Os atendidos e suas famílias,"Funcionários, Voluntários",Pão francês - 120 unidades ,Já foi feita ,,Irá precisar,Microfone - 1 unidade ,https://drive.google.com/open?id=19dAFiwa7ymVNkLd5nQlvtCibLM2GxuRP,14:00:00,
22/10/2025 09:54:42,jdnilopolis@anabrasil.org,Ação voluntários UNIMETROCAMP,24/10/2025,Alunos trarão infláveis e farão pintura facial.,Externo (Organizado pelo Parceiro),Os atendidos,"Funcionários, Voluntários",Não,Não,,Irá precisar,Não,,09:00:00,
22/10/2025 11:55:24,coordenacao_dic@anabrasil.org,Palestra Finanças ,28/10/2025,"A palestra tem com objetivo orientar os adolescentes sobre a importância da educação financeira e da boa administração do primeiro salário, bem como planejar gastos, consumo consciente, diferença entre necessidade e desejo, importância de poupar e ter metas financeiras para o futuro",Externo (Organizado pelo Parceiro),Os atendidos,Voluntários,não,não,,Irá precisar,não,,14:00:00,
24/10/2025 10:06:55,coordenacao_dic@anabrasil.org,Palestra Sobre Autocuidado,30/10/2025,"A proposta tem com objetivo conscientizar sobre a importância do autocuidado  como parte da saúde fisica, mental, emocional e espiritual.",Externo (Organizado pelo Parceiro),Os atendidos e suas famílias,Voluntários,"Sim, não vamos precisar","Sim,  estamos no aguardo palestrante vai enviar foto",,Irá precisar,não,,09:30:00,
27/10/2025 10:58:16,coordenacao_dic@anabrasil.org,Papel da educação na transformação pessoal e social,29/10/2025,"O projeto tem como objetivo promover reflexões sobre o papel da educação na transformação pessoal e social, incentivando os participantes a reconhecerem seu potencial de crescimento por meio do aprendizado.",Externo (Organizado pelo Parceiro),Os atendidos,Voluntários,"Sim, a equipe ofertara o lanche",NÃO,,Irá precisar,NÃO,,09:00:00,
28/10/2025 14:06:19,jdnilopolis@anabrasil.org,Encontro de Famílias,08/11/2025,"Receberemos as famílias com um café da manhã, na sequencia teremos apresentações da crianças e uma palavra final.",Interno (Organizado pela Unidade),Os atendidos e suas famílias,Funcionários,"Itens de café da manhã, como: bolo simples, frutas e pão.","Evento: Encontro de Famílias ANA Nilópolis
Data: 08/11/2025
Horário: 8h
Com café da manhã",,Irá precisar,Não,,09:00:00,
30/10/2025 14:45:40,diretoriasantana@anabrasil.org, ESPRO,12/11/2025,"Projeto do Gestores do Futuro planejou um dia de brincadeiras para as crianças. Laços da Esperança tem como missão promover acolhimento, educação e alegria para crianças vulneráveis, oferecendo oportunidades de desenvolvimento integral e construindo vínculos transformadores com dignidade e afeto",Interno (Organizado pela Unidade),Os atendidos,"Funcionários, Voluntários",NÃO,NÃO,,Irá precisar,NÃO,,08:00:00,
30/10/2025 14:49:36,diretoriasantana@anabrasil.org,Sorriso é Coisa Séria,06/11/2025,"Na atividade proposta, crianças da instituição ANA - Santana, de 06 a 10 anos, participarão de atividades lúdico educativas de saúde bucal realizadas pela equipe de dentistas do Sesc Campinas, com orientações sobre cuidados e higiene e distribuição de kits de saúde bucal. A ação será complementada pela intervenção ""O Mundo em Minha Boca"", na qual o grupo propõe um resgate poético e musical sobre as funções da boca como meio de experimentação do mundo e forma de expressão. O espetáculo é interativo e integrado com uma oficina de origami.",Interno (Organizado pela Unidade),Os atendidos,"Funcionários, Voluntários",NÃO,NÃO,,Irá precisar,NÃO,,08:30:00,
06/11/2025 09:55:27,coordenacao_dic@anabrasil.org,Festa da Primaveira,22/11/2025,O Evento tem o intuito de promover a integração e fortalecer os vinculos entro os participantes e a comunidade local,Externo (Organizado pelo Parceiro),Os atendidos e suas famílias,Funcionários,sim,não,,Irá precisar,não,,14:00:00,
14/11/2025 14:52:56,diretoriasantana@anabrasil.org,TROCA DE FAIXA KARATÊ,05/12/2025,Atividade de Karatê vai trocar a faixa  ,Interno (Organizado pela Unidade),Os atendidos e suas famílias,Funcionários,não,"sim, convites das familias período da tarde",,Irá precisar,não,,14:00:00,
19/11/2025 07:10:25,diretoriasantana@anabrasil.org,Recital ,30/11/2025,Apresentação da Flauta com parceria com igreja Presbiteriana,Externo (Organizado pelo Parceiro),Será aberto para a comunidade,Funcionários,Não,Não,,Irá precisar,não,https://drive.google.com/open?id=1LBOAFYPgCao9qMzCni2Ck7X59-KwU-at,09:00:00,
19/11/2025 09:43:48,coordenacao_dic@anabrasil.org,Palestra Saúde Emocional,28/11/2025,"Palestra Saúde Emocional, com pastor e psicologo Fred Dias",Interno (Organizado pela Unidade),Os atendidos,Funcionários,Não,Não,,Irá precisar,Não,,09:00:00,
04/12/2025 15:28:35,coordenacao_dic@anabrasil.org,Parada de Natal,06/12/2025,"A Parada de Natal deste ano acontecerá na Avenida Francisco Glicério e  será um momento especial de celebração, integração e alegria para toda a comunidade. O evento contará com apresentações temáticas, música, personagens natalinos, carros decorados e diversas intervenções artísticas que vão transformar a avenida em um verdadeiro cenário mágico de fim de ano.",Externo (Organizado pelo Parceiro),Os atendidos e suas famílias,Funcionários,Não,Arte para divulgação nas redes sociais da participação dos nossos usuários na parada da unidade Dic,,Irá precisar,não,,19:00:00,
04/12/2025 15:31:41,coordenacao_dic@anabrasil.org,Coral Ana Dic - Igreja do Nazareno Jardim Aeronave,07/12/2025,Nosso coral fará uma apresentação especial de Natal ,Externo (Organizado pelo Parceiro),Os atendidos e suas famílias,Funcionários,não,Convite de divulgação para grupo da familia e redes sociais,,Irá precisar,não,,18:00:00,
04/12/2025 15:36:18,coordenacao_dic@anabrasil.org,Natal Feliz - Manaim,13/12/2025,"O Natal Feliz do Manaim será  um dia de celebração, solidariedade e integração entre as três unidades do Social, que se uniram para proporcionar uma experiência inesquecível aos nossos usuários. Este ano, contamos com o apoio fundamental do Hopy Day,  Alcance e da JNI.",Externo (Organizado pelo Parceiro),Os atendidos e suas famílias,"Funcionários, Voluntários","Sim, estamos precisando de doação de carne, pernil ou frango",não,,Irá precisar,não,,07:00:00,
04/12/2025 15:43:35,coordenacao_dic@anabrasil.org,Espetaculo Principe do Egito,19/12/2025,"O Serviço de Convivência e Fortalecimento de Vínculos está preparando uma apresentação especial baseada na história do “Príncipe do Egito”, desenvolvida integralmente pelos nossos usuários, com acompanhamento da equipe técnica e educadores. O espetáculo busca promover protagonismo, criatividade e fortalecimento de vínculos comunitários por meio da arte, música e expressão corporal.",Externo (Organizado pelo Parceiro),Os atendidos e suas famílias,Funcionários,"sim, caixinhas de suco, pão, bolinhos",Arte para convite e divulgação nos grupos e redes sociais,,Irá precisar,não,,19:00:00,
16/12/2025 11:30:00,coordenacao_dic@anabrasil.org,Cantata de Natal  ( Natal Brasileiro),21/12/2025,Cantata de Natal Igreja Jardim Aeronave com Participação CCII,Externo (Organizado pelo Parceiro),Os atendidos e suas famílias,Funcionários,Não,"Sim, já enviada por email",,Irá precisar,Não,,09:00:00,
27/01/2026 16:19:32,dic@anabrasil.org,CAFÉ DA MANHÃ COM FAMILIAS ,21/02/2026,"NO DIA 21/02/2026 TEREMOS NOSSO CAFÉ COM FAMILIAS, ONDE TEREMOS A PRESENÇA DA SECRETARIA DA ASSISTENCIA SOCIAL - VANDERCLÉIA MORO. SERÁ UM ENCONTRO INFORMATIVO, ONDE AS FAMILIAS RECEBERÃO INFORMAÇÕES SOBRE NOSSO SERVIÇO, E TAMBÉM SOBRE SERVIÇOS, QUE HOJE ESTÃO DISPONIVEIS PARA A COMUNIDADE. SERÁ DIVULGADO NESTE DIA, O PRIMEIRO VARAL SOLIDARIO DO ANA DIC, EM PARCERIA COM A SECRETARIA DA ASSISTENCIA. ",Externo (Organizado pelo Parceiro),Será aberto para a comunidade,"Funcionários, Voluntários",PRECISAMOS DE DOAÇÕES DE PRESUNTO / MUSSARELA / SUCO / BRINDES DIVERSOS . ,"SIM - NOSSO PRIMEIRO CAFÉ DO ANO ESTA CHEGANDO! SERÁ DIA 21/02/2026 ÀS 09H00. TE ESPERAMOS COM UM DELICIOSO CAFE DA MANHÃ E MUITOS BRINDES ! 

PRECISO DO LOGO DO ANA PARA ENVIAR PARA EQUIPE DO VARAL SOLIDARIO ",,Irá precisar,NÃO ,,09:00:00,
24/02/2026 13:35:17,jdnilopolis@anabrasil.org,VARAL SOLIDÁRIO,28/02/2026,"O Varal Solidário, na Unidade Nilópolis, em parceria com o Programa Próximo Passo. Será uma manhã especial de cuidado, orientação e apoio às famílias da comunidade.",Interno (Organizado pela Unidade),Será aberto para a comunidade,"Funcionários, Voluntários",não,não,,Irá precisar,não,https://drive.google.com/open?id=1-m9VnH0TX2icrsTFf-iG6nLUt7BFVgXq,09:00:00,
03/03/2026 14:50:58,jdnilopolis@anabrasil.org,ENCONTRO DE FAMILIA,07/03/2026,"Um momento para apresentar nossas atividades , explicar nosso serviço de apoio com  Serviço Social e Psicologia, e  se encantar com o talento das crianças nas apresentações.",Interno (Organizado pela Unidade),Os atendidos e suas famílias,Funcionários,não,Sim,,Irá precisar,não,,09:00:00,
05/03/2026 10:03:40,diretoriasantana@anabrasil.org,Encontro de Famílias,21/03/2026,"Os Encontros de Família são fundamentais para o nosso trabalho e tem como principal objetivo promover o fortalecimento de vínculos entres as crianças e adolescentes e seus familiares. Isso ocorre a partir de apresentações das atividades que realizaram ao longo do bimestre, bem como a partir de atividades interativas com as família e palestras cuja temática é escolhida de acordo com a necessidade identificada no dia a dia do acompanhamento com as famílias.",Interno (Organizado pela Unidade),Os atendidos e suas famílias,"Funcionários, Voluntários","Café da manhã especial, precisamos de frutas e pães.","Sim, uma arte convite. 
Encontro de Famílias
Venha tomar um café da manhã delicioso
Data: 21/03/2026
Às 9h
Participem!",,Irá precisar,Não,,08:00:00,
12/03/2026 18:00:30,dic@anabrasil.org,VARAL SOLIDÁRIO ,21/03/2026,"Evento realizado pela Prefeitura de Camppinas - Secretaria da Assistencia Social, durante o evento teremos - doações de roupas, atualização do cadastro unico, orientações auxilios sociais, vagas de empregos, cursos / captações, orientação MEI, exame de vista, corte de cabelo, aula de pilates. ",Externo (Organizado pelo Parceiro),Será aberto para a comunidade,"Funcionários, Voluntários",Iremos fornecer café da manhã para a equipe de trabalho ,Arte enviada pela Prefeitura/ Secretaria da Assistencia Social ,https://drive.google.com/open?id=1OygliYWGKjk79lonDpFb0ooDH9EhNJHH,Irá precisar,não ,,08:00:00,
20/03/2026 13:27:35,diretoriasantana@anabrasil.org,Teatro de Páscoa,30/03/2026,"O teatro é comemorativo, por ocasião da Páscoa, a peça será apresentada pelo Grupo Ecco, um grupo voluntário cristão. O evento ocorrerá de manhã e a tarde no mesmo dia, na quadra da unidade Nilópolis, com participação das crianças da unidade Santana.",Interno (Organizado pela Unidade),Os atendidos,"Funcionários, Voluntários",Não,Não,,Irá precisar,Não,https://drive.google.com/open?id=1SxEwT2RqMW6QTdqBMJL0Ctj59sQzptD2,08:00:00,
23/03/2026 09:33:29,jdnilopolis@anabrasil.org,Café da manhã especial ,26/03/2026,"ema: Características do Desenvolvimento Infantil dos 06 aos 9 anos 
Participe desse momento de aprendizado, compartilhamento, escuta e orientações.
Entrega de alimentos para os responsáveis presentes!",Interno (Organizado pela Unidade),Os atendidos e suas famílias,Funcionários,não,sim,,Irá precisar,não,,09:00:00,
23/03/2026 09:37:28,jdnilopolis@anabrasil.org,Teatro de Páscoa,30/03/2026,A verdadeira Páscoa ,Interno (Organizado pela Unidade),Os atendidos,Funcionários,não,não,,Irá precisar,não,,09:00:00,
23/03/2026 09:48:25,jdnilopolis@anabrasil.org,Teatro de Páscoa,30/03/2026,A verdadeira Páscoa! ,Interno (Organizado pela Unidade),Os atendidos,Funcionários,não,"sim,  um folder Nilópolis e outro para Santana ação em conjunto",,Irá precisar,não,,09:00:00,
23/03/2026 09:51:17,jdnilopolis@anabrasil.org,HOPE DAY ,28/03/2026,Apresentação ANA Nilópolis e DIC,Externo (Organizado pelo Parceiro),Os atendidos,Funcionários,não,"Sim, HOP DAY folder para avisar as famílias do evento ",,Irá precisar,não,,09:00:00,
25/03/2026 10:36:13,coordenacao_dic@anabrasil.org,Ação Otica Prime,30/03/2026,"A ação conta com a parceria da Ótica Prime, que está contribuindo com a promoção da saúde visual dos nossos atendidos, além da doação de óculos",Interno (Organizado pela Unidade),Os atendidos,Voluntários,Não,Não,,Irá precisar,Não,,08:00:00,
